var value,accuracy,number of features
0.01,0.987,85
0.02,0.986,62
0.03,0.984,49
0.04,0.987,43
0.05,0.988,42
0.060000000000000005,0.988,38
0.07,0.986,35
0.08,0.987,33
0.09,0.988,31
0.09999999999999999,0.986,27
0.11,0.985,26
0.12,0.987,23
0.13,0.984,18
0.14,0.982,16
0.15000000000000002,0.983,14
0.16000000000000003,0.983,13
0.17000000000000004,0.975,11
0.18000000000000005,0.968,7
0.19000000000000006,0.963,6
0.20000000000000007,0.963,6
0.21000000000000008,0.963,6
0.22000000000000008,0.963,6
0.2300000000000001,0.963,6
0.2400000000000001,0.963,6
0.2500000000000001,0.963,6
0.2600000000000001,0.963,6
0.27000000000000013,0.963,6
0.28000000000000014,0.839,3
0.29000000000000015,0.839,3
0.30000000000000016,0.839,3
0.31000000000000016,0.639,2
0.3200000000000002,0.581,1
0.3300000000000002,0.581,1
0.3400000000000002,0.581,1
0.3500000000000002,0.581,1
0.3600000000000002,0.581,1
0.3700000000000002,0.581,1

