font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
GEORGIA,GEORGIA,64260,0.400000,0,0.000000,31,21,51,57,20,20,1,1,1,1,5,94,156,156,50,1,1,24,129,219,201,231,170,201,63,1,1,1,1,19,184,107,186,255,245,26,18,206,137,16,1,47,240,255,63,1,1,1,1,184,175,1,31,230,241,24,179,215,1,1,1,1,220,255,63,1,1,1,50,250,102,1,1,23,28,46,249,141,1,1,1,1,220,255,63,1,1,1,139,255,54,1,1,1,1,135,255,59,1,1,1,1,220,255,63,1,1,1,220,255,54,1,1,1,1,215,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,141,141,243,255,165,141,141,141,141,241,255,167,141,141,5,1,220,255,63,1,161,161,246,255,181,161,161,161,161,244,255,182,161,161,6,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,27,233,255,125,28,1,1,49,242,255,128,13,1,1,47,240,255,132,14,60,233,255,255,255,234,134,127,232,255,255,255,212,1,123,231,255,255,255,217
GEORGIA,GEORGIA,64259,0.400000,0,0.000000,31,21,51,57,20,20,1,1,1,1,5,94,156,156,50,1,1,24,129,219,201,251,170,50,1,1,1,1,1,19,184,107,186,255,245,26,18,206,137,16,1,230,255,213,1,1,1,1,1,184,175,1,31,230,241,24,179,215,1,1,1,121,255,206,1,1,1,1,50,250,102,1,1,23,28,46,249,141,1,1,1,8,121,74,1,1,1,1,139,255,54,1,1,1,1,135,255,59,1,1,1,1,1,1,1,1,1,1,220,255,54,1,1,1,1,215,255,59,1,1,1,1,1,1,1,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,1,1,1,1,141,141,243,255,165,141,141,141,141,241,255,167,141,141,141,141,191,241,59,1,161,161,246,255,181,161,161,161,161,244,255,182,161,161,161,181,255,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,2,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,1,229,255,54,1,1,1,1,224,255,59,1,1,1,1,220,255,63,1,1,27,233,255,125,28,1,1,49,242,255,128,13,1,1,47,240,255,132,14,60,233,255,255,255,234,134,127,232,255,255,255,212,1,123,231,255,255,255,217
GEORGIA,GEORGIA,64258,0.400000,0,0.000000,31,21,51,38,20,20,1,1,1,1,1,1,1,46,156,179,201,201,221,255,177,156,171,94,1,1,1,1,1,1,1,29,179,227,88,22,1,1,17,77,232,255,255,94,1,1,1,1,1,1,44,232,245,118,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,7,188,255,215,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,81,255,255,123,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,202,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,141,141,141,237,255,255,177,141,141,141,141,8,1,1,202,255,255,94,1,1,161,161,161,241,255,255,191,161,161,161,161,9,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,1,215,255,255,81,1,1,1,1,1,1,1,202,255,255,94,1,1,1,1,41,222,255,255,164,41,1,1,1,1,1,38,211,255,255,176,19,1,95,201,250,255,255,255,255,250,201,95,1,85,201,247,255,255,255,255,224,201
GEORGIA,GEORGIA,64257,0.400000,0,0.000000,31,21,51,37,20,20,1,1,1,1,1,1,1,54,145,168,201,201,232,255,161,123,12,1,1,1,1,1,1,1,1,12,162,250,121,33,1,1,140,255,255,255,169,1,1,1,1,1,1,1,23,219,255,110,1,1,1,1,6,222,255,255,158,1,1,1,1,1,1,5,160,255,255,7,1,1,1,1,1,18,130,136,30,1,1,1,1,1,1,56,255,255,166,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,180,255,255,125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,1,1,1,1,1,1,141,141,141,228,255,255,196,141,141,141,141,141,141,141,181,241,241,72,1,1,161,161,161,232,255,255,207,161,161,161,161,161,161,207,255,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,3,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,1,193,255,255,125,1,1,1,1,1,1,1,242,255,255,76,1,1,1,1,38,204,255,255,199,48,5,1,1,1,2,46,244,255,255,162,42,1,92,201,247,255,255,255,255,255,206,146,1,130,202,255,255,255,255,255,251,201
GEORGIA,GEORGIA,64256,0.400000,0,0.000000,31,21,51,45,20,20,1,1,1,1,1,13,56,144,156,133,37,1,1,1,77,131,231,255,222,111,1,1,1,1,17,187,137,134,255,255,241,24,2,99,242,48,93,255,255,255,1,1,1,29,216,219,21,1,153,255,234,22,102,255,171,1,11,172,255,227,1,1,1,167,255,146,1,1,4,36,24,1,196,255,73,1,1,8,36,20,1,1,1,227,255,86,1,1,1,1,1,34,255,255,57,1,1,1,1,1,1,1,77,253,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,141,141,179,255,255,179,141,141,141,141,141,192,255,255,166,141,141,109,1,1,161,161,192,255,255,192,161,161,161,161,161,203,255,255,182,161,161,125,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,1,86,255,255,86,1,1,1,1,1,114,255,255,57,1,1,1,1,1,1,11,116,255,255,160,31,1,1,1,16,183,255,255,137,26,1,1,1,1,23,213,255,255,255,255,237,201,1,134,219,255,255,255,255,231,178,1,1,1
GEORGIA,GEORGIA,9834,0.400000,0,0.000000,37,21,46,31,20,20,1,1,1,1,1,1,1,1,1,83,255,255,255,255,255,198,120,14,1,1,1,1,1,1,1,1,1,1,1,83,255,255,255,255,255,255,255,210,55,1,1,1,1,1,1,1,1,1,1,83,255,255,255,255,255,255,255,255,243,75,1,1,1,1,1,1,1,1,1,83,255,161,12,12,29,122,224,255,255,177,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,21,186,255,255,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,33,243,255,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,1,229,244,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,255,157,1,1,1,1,1,1,1,1,1,1,10,37,134,134,134,105,23,98,255,157,1,1,1,1,1,1,1,1,20,135,204,255,255,255,255,255,255,255,255,157,1,1,1,1,1,1,1,1,148,255,255,255,255,255,255,255,255,255,255,157,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,150,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,247,1,1,1,1,1,1,1,1,1,106,233,255,255,255,255,255,255,255,230,101,1,1,1,1,1,1,1,1,1,1,31,145,230,255,255,255,155,145,27,1,1,1,1,1,1,1,1,1,1
GEORGIA,GEORGIA,9702,0.400000,0,0.000000,52,24,16,16,20,20,0,0,0,0,0,0,192,255,255,255,255,255,255,192,0,0,0,0,0,0,0,0,0,48,192,192,240,255,255,255,255,255,255,240,192,192,48,0,0,0,0,0,64,160,255,255,255,192,128,128,128,128,192,255,255,255,160,64,0,0,0,48,160,255,255,192,192,96,0,0,0,0,96,192,192,255,255,160,48,0,0,192,255,255,255,0,0,0,0,0,0,0,0,0,0,255,255,255,192,0,0,192,255,192,0,0,0,0,0,0,0,0,0,0,0,0,192,255,192,0,192,240,255,192,0,0,0,0,0,0,0,0,0,0,0,0,192,255,240,192,255,255,192,96,0,0,0,0,0,0,0,0,0,0,0,0,96,192,255,255,255,255,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,255,255,255,255,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,255,255,255,255,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,255,255,255,255,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,255,255,255,255,192,96,0,0,0,0,0,0,0,0,0,0,0,0,96,192,255,255,192,240,255,192,0,0,0,0,0,0,0,0,0,0,0,0,192,255,240,192,0,192,255,192,0,0,0,0,0,0,0,0,0,0,0,0,192,255,192,0,0,192,255,255,255,0,0,0,0,0,0,0,0,0,0,255,255,255,192,0,0,48,160,255,255,192,192,96,0,0,0,0,96,192,192,255,255,160,48,0,0,0,64,160,255,255,255,192,128,128,128,128,192,255,255,255,160,64,0,0,0,0,0,48,192,192,240,255,255,255,255,255,255,240,192,192,48,0,0,0,0,0,0,0,0,0,192,255,255,255,255,255,255,192,0,0,0,0,0,0
GEORGIA,GEORGIA,9679,0.400000,0,0.000000,49,26,29,29,20,20,1,1,1,1,1,39,80,152,255,255,255,255,152,80,39,1,1,1,1,1,1,1,1,1,137,205,255,255,255,255,255,255,255,255,205,137,1,1,1,1,1,1,15,159,253,255,255,255,255,255,255,255,255,255,255,253,159,15,1,1,1,1,159,255,255,255,255,255,255,255,255,255,255,255,255,255,255,159,1,1,1,137,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,137,1,39,205,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,205,39,80,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,80,152,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,152,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,152,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,152,80,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,80,39,205,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,205,39,1,137,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,137,1,1,1,159,255,255,255,255,255,255,255,255,255,255,255,255,255,255,159,1,1,1,1,15,159,253,255,255,255,255,255,255,255,255,255,255,253,159,15,1,1,1,1,1,1,137,205,255,255,255,255,255,255,255,255,205,137,1,1,1,1,1,1,1,1,1,39,80,152,255,255,255,255,152,80,39,1,1,1,1,1
GEORGIA,GEORGIA,9674,0.400000,0,0.000000,45,22,37,33,20,20,1,1,1,1,1,1,1,1,1,149,149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,168,254,254,168,12,1,1,1,1,1,1,1,1,1,1,1,1,1,26,182,255,233,233,255,182,26,1,1,1,1,1,1,1,1,1,1,1,1,202,255,255,61,61,255,255,202,1,1,1,1,1,1,1,1,1,1,6,110,250,251,150,8,8,150,251,250,110,6,1,1,1,1,1,1,1,6,134,255,251,129,1,1,1,1,129,251,255,134,6,1,1,1,1,1,1,173,255,255,91,1,1,1,1,1,1,91,255,255,173,1,1,1,1,21,190,255,239,70,1,1,1,1,1,1,1,1,70,239,255,190,21,1,1,185,255,255,163,1,1,1,1,1,1,1,1,1,1,163,255,255,185,1,124,245,255,139,12,1,1,1,1,1,1,1,1,1,1,12,139,255,245,124,124,245,255,139,12,1,1,1,1,1,1,1,1,1,1,12,139,255,245,124,1,185,255,255,163,1,1,1,1,1,1,1,1,1,1,163,255,255,185,1,1,21,190,255,239,70,1,1,1,1,1,1,1,1,70,239,255,190,21,1,1,1,1,173,255,255,91,1,1,1,1,1,1,91,255,255,173,1,1,1,1,1,1,6,134,255,251,129,1,1,1,1,129,251,255,134,6,1,1,1,1,1,1,1,6,110,250,251,150,8,8,150,251,250,110,6,1,1,1,1,1,1,1,1,1,1,202,255,255,61,61,255,255,202,1,1,1,1,1,1,1,1,1,1,1,1,26,182,255,233,233,255,182,26,1,1,1,1,1,1,1,1,1,1,1,1,1,12,168,254,254,168,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,149,149,1,1,1,1,1,1,1,1,1
GEORGIA,GEORGIA,9643,0.400000,0,0.000000,52,24,15,15,20,20,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,227,171,171,171,171,171,171,171,171,171,171,171,171,171,171,227,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,255,255,227,171,171,171,171,171,171,171,171,171,171,171,171,171,171,227,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
