font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
ONYX,ONYX,61442,0.400000,0,0.000000,33,20,49,18,20,20,1,1,1,1,1,21,82,141,105,105,105,105,222,255,255,255,255,199,1,1,1,1,1,1,110,224,190,45,1,1,94,187,243,255,255,255,255,199,1,1,1,1,1,164,251,255,171,1,1,1,219,251,255,255,255,255,255,199,1,1,1,1,146,233,255,255,198,65,1,1,1,61,214,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,73,73,215,255,255,255,255,215,73,73,1,1,199,255,255,255,255,199,1,1,32,32,206,255,255,255,255,206,32,32,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,1,1,199,255,255,255,255,199,1,1,105,105,222,255,255,255,255,222,93,1,1,93,222,255,255,255,255,222,105,105
ONYX,ONYX,61441,0.400000,0,0.000000,33,20,49,17,20,20,1,1,1,1,1,6,47,145,151,185,166,105,105,105,238,182,96,31,1,1,1,1,1,1,59,205,255,255,184,67,1,1,12,198,249,255,255,235,163,1,1,1,1,116,248,255,255,255,61,1,1,1,13,219,251,255,255,243,181,1,1,1,122,220,255,255,255,255,61,1,1,1,1,1,60,68,68,44,1,1,1,1,166,255,255,255,255,255,61,1,1,1,1,1,1,1,1,1,1,1,73,73,191,255,255,255,255,255,116,73,73,73,73,73,73,73,73,48,1,1,32,32,177,255,255,255,255,255,84,32,32,84,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,1,1,166,255,255,255,255,255,61,1,1,61,255,255,255,255,255,166,1,1,105,105,202,255,255,255,255,255,140,43,43,140,255,255,255,255,255,202,105,105
ONYX,ONYX,61440,0.400000,0,0.000000,29,24,53,45,20,20,1,1,1,1,1,1,1,1,1,1,1,1,46,181,255,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69,241,255,246,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,237,255,255,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,154,255,255,196,23,1,1,1,1,1,1,1,1,11,78,121,121,121,25,9,180,199,117,134,121,121,67,9,1,1,1,1,100,215,255,255,255,255,255,207,183,215,255,255,255,255,255,207,80,1,6,139,253,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,235,22,80,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,230,51,1,179,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,120,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,229,5,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,227,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,236,26,1,1,193,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,105,1,1,138,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,244,96,2,29,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,136,3,161,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,136,1,35,233,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,222,18,1,1,104,248,255,255,255,255,255,255,255,255,255,255,255,255,255,241,83,1,1,1,1,69,241,255,255,255,255,255,255,255,255,255,255,255,252,130,1,1,1,1,1,1,46,181,255,255,159,95,63,106,170,255,255,213,56,1,1,1
ONYX,ONYX,9674,0.400000,0,0.000000,33,22,49,29,20,20,1,1,1,1,1,1,1,1,2,119,119,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146,255,255,146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,123,253,255,255,253,123,4,1,1,1,1,1,1,1,1,1,1,1,1,156,255,253,136,136,253,255,156,1,1,1,1,1,1,1,1,1,1,5,127,251,255,157,1,1,157,255,251,127,5,1,1,1,1,1,1,1,1,95,255,248,140,22,1,1,22,140,248,255,95,1,1,1,1,1,1,4,131,251,255,147,1,1,1,1,1,1,147,255,251,131,4,1,1,1,1,105,255,245,143,19,1,1,1,1,1,1,19,143,245,255,105,1,1,2,135,253,255,136,1,1,1,1,1,1,1,1,1,1,136,255,253,135,2,116,255,243,146,14,1,1,1,1,1,1,1,1,1,1,14,146,243,255,116,116,255,243,146,14,1,1,1,1,1,1,1,1,1,1,14,146,243,255,116,2,135,253,255,136,1,1,1,1,1,1,1,1,1,1,136,255,253,135,2,1,1,105,255,245,143,19,1,1,1,1,1,1,19,143,245,255,105,1,1,1,1,4,131,251,255,147,1,1,1,1,1,1,147,255,251,131,4,1,1,1,1,1,1,95,255,248,140,22,1,1,22,140,248,255,95,1,1,1,1,1,1,1,1,5,127,251,255,157,1,1,157,255,251,127,5,1,1,1,1,1,1,1,1,1,1,156,255,253,136,136,253,255,156,1,1,1,1,1,1,1,1,1,1,1,1,4,123,253,255,255,253,123,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146,255,255,146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,119,119,2,1,1,1,1,1,1,1,1
ONYX,ONYX,8805,0.400000,0,0.000000,40,24,33,25,20,20,255,194,101,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,218,255,255,212,171,47,19,1,1,1,1,1,1,1,1,1,1,1,1,1,22,109,197,255,255,255,191,147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,163,163,218,255,248,248,155,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,62,217,232,255,255,194,132,39,8,1,1,1,1,1,1,1,1,1,1,1,1,1,47,116,228,255,255,255,163,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,47,171,171,239,252,240,240,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81,132,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,53,132,231,255,255,255,150,1,1,1,1,1,1,1,1,1,31,78,201,232,242,255,194,147,24,24,5,1,1,1,1,1,1,14,24,178,209,255,255,232,171,78,16,1,1,1,1,1,1,1,1,25,124,203,255,255,255,181,132,1,1,1,1,1,1,1,1,14,70,163,225,231,255,214,186,31,31,13,1,1,1,1,1,1,1,1,1,188,255,255,243,209,86,35,1,1,1,1,1,1,1,1,1,1,1,1,1,255,209,140,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
ONYX,ONYX,8804,0.400000,0,0.000000,40,24,33,25,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,101,194,255,1,1,1,1,1,1,1,1,1,1,1,1,1,19,47,171,212,255,255,218,1,1,1,1,1,1,1,1,1,1,1,1,147,191,255,255,255,197,109,22,1,1,1,1,1,1,1,1,93,155,248,248,255,218,163,163,8,5,1,1,1,1,1,1,8,39,132,194,255,255,232,217,62,38,1,1,1,1,1,1,1,1,1,112,163,255,255,255,228,116,47,1,1,1,1,1,1,1,1,1,116,240,240,252,239,171,171,47,13,1,1,1,1,1,1,1,1,1,1,1,255,255,255,132,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,150,255,255,255,231,132,53,1,1,1,1,1,1,1,1,1,1,1,1,1,5,24,24,147,194,255,242,232,201,78,31,1,1,1,1,1,1,1,1,1,1,1,1,1,16,78,171,232,255,255,209,178,24,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,132,181,255,255,255,203,124,25,1,1,1,1,1,1,1,1,1,1,1,1,1,13,31,31,186,214,255,231,225,163,70,14,1,1,1,1,1,1,1,1,1,1,1,1,1,35,86,209,243,255,255,188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,140,209,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
ONYX,ONYX,8800,0.400000,0,0.000000,38,24,38,24,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,202,255,220,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,229,240,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,197,255,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,128,255,255,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,222,255,99,1,1,1,1,1,175,175,175,175,175,175,175,175,175,175,175,202,255,255,188,175,175,175,175,175,229,229,229,229,229,229,229,229,229,229,255,255,242,229,229,229,229,229,229,229,1,1,1,1,1,1,1,1,1,12,255,251,121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,213,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,235,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,206,255,124,1,1,1,1,1,1,1,1,1,229,229,229,229,229,229,229,242,255,255,229,229,229,229,229,229,229,229,229,229,175,175,175,175,175,175,202,255,255,188,175,175,175,175,175,175,175,175,175,175,1,1,1,1,1,34,220,255,121,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200,255,162,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146,255,242,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,217,251,153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,175,255,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,128,255,255,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ONYX,ONYX,8776,0.400000,0,0.000000,47,24,20,25,20,20,1,1,1,205,255,255,103,1,1,1,1,1,1,1,1,1,1,1,1,205,1,103,255,255,255,255,255,255,205,1,1,1,1,1,1,1,1,1,1,205,52,255,255,255,255,255,255,255,255,255,103,1,1,1,1,1,1,1,154,255,52,255,103,1,1,103,255,255,255,255,255,255,1,1,1,1,1,1,154,52,52,154,1,1,1,1,1,1,255,255,255,255,255,154,1,1,1,103,255,52,255,154,1,1,1,1,1,1,1,103,255,255,255,255,255,255,255,255,255,52,205,1,1,1,1,1,1,1,1,1,1,205,255,255,255,255,255,255,103,1,205,1,1,1,1,1,1,1,1,1,1,1,52,255,255,255,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,205,255,255,103,1,1,1,1,1,1,1,1,1,1,1,1,205,1,103,255,255,255,255,255,255,205,1,1,1,1,1,1,1,1,1,1,205,52,255,255,255,255,255,255,255,255,255,103,1,1,1,1,1,1,1,154,255,52,255,103,1,1,1,154,255,255,255,255,255,1,1,1,1,1,1,154,52,52,154,1,1,1,1,1,1,255,255,255,255,255,154,1,1,1,103,255,52,255,154,1,1,1,1,1,1,1,103,255,255,255,255,255,255,255,255,255,52,205,1,1,1,1,1,1,1,1,1,1,205,255,255,255,255,255,255,103,1,205,1,1,1,1,1,1,1,1,1,1,1,52,255,255,255,205,1,1,1
ONYX,ONYX,8747,0.400000,0,0.000000,32,21,62,17,20,20,1,1,1,1,1,1,1,1,1,1,4,28,96,173,246,255,255,226,159,91,1,1,1,1,1,1,1,1,1,10,115,232,157,157,229,251,255,255,253,239,1,1,1,1,1,1,1,1,1,151,255,196,1,1,1,47,66,66,55,1,1,1,1,1,1,1,1,1,89,198,255,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196,255,255,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196,255,255,246,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,209,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,255,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,202,246,255,255,255,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196,255,255,205,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196,255,255,196,1,1,1,1,1,1,1,1,1,55,66,66,47,1,1,1,196,255,228,145,1,1,1,1,1,1,1,1,239,253,255,255,251,229,157,157,232,212,107,1,1,1,1,1,1,1,1,1,91,159,226,255,255,255,255,178,110,38,1,1,1,1,1,1,1,1,1,1
ONYX,ONYX,8734,0.400000,0,0.000000,48,22,19,31,20,20,1,1,1,1,1,1,1,1,1,1,1,1,190,255,255,255,33,1,1,1,1,1,1,188,242,242,110,1,1,1,8,242,252,255,255,255,244,102,1,1,1,15,229,249,255,255,241,23,1,1,156,255,255,152,27,27,79,240,15,1,1,155,165,41,41,82,255,164,1,70,243,255,235,23,1,1,10,165,155,1,72,227,32,1,1,11,54,222,78,83,255,255,101,1,1,1,1,32,227,72,91,118,1,1,1,1,1,110,99,204,255,183,18,1,1,1,1,1,118,91,204,75,1,1,1,1,1,66,206,253,255,157,1,1,1,1,1,1,75,204,198,28,1,1,1,1,1,25,193,255,250,58,1,1,1,1,1,1,28,198,165,1,1,1,1,1,1,1,157,255,247,1,1,1,1,1,1,1,1,165,165,1,1,1,1,1,1,1,157,255,247,1,1,1,1,1,1,1,1,165,165,1,1,1,1,1,1,32,204,255,169,1,1,1,1,1,1,1,1,165,165,1,1,1,1,1,1,66,255,255,83,1,1,1,1,1,1,1,1,165,198,28,1,1,1,1,1,127,255,255,143,1,1,1,1,1,1,1,1,165,204,75,1,1,1,1,1,231,255,230,221,1,1,1,1,1,1,1,24,142,91,118,1,1,1,1,37,237,255,130,167,42,1,1,1,1,1,1,75,91,72,227,32,1,1,46,165,255,223,7,139,178,14,1,1,1,1,1,94,72,1,155,165,41,41,221,255,245,84,1,7,231,96,23,1,1,10,41,142,1,1,15,229,249,255,255,255,172,1,1,1,89,249,152,27,27,79,240,15,1,1,1,1,188,242,242,242,24,1,1,1,1,181,255,255,255,252,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,255,255,255,198,1,1,1
