font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
ROCKWELL,ROCKWELL EXTRA BOLD,61442,0.400000,0,0.000000,37,23,46,49,20,20,1,1,1,1,17,111,151,255,255,255,255,255,172,145,145,145,145,145,53,1,1,1,1,86,217,255,255,255,255,255,255,255,255,255,255,255,255,255,94,1,1,1,71,244,255,255,255,255,255,255,255,255,255,255,255,255,255,255,94,1,1,9,241,255,255,255,255,255,187,12,12,187,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,122,171,255,255,255,255,255,255,237,186,1,42,255,255,255,255,255,255,94,1,255,255,255,255,255,255,255,255,255,203,1,42,255,255,255,255,255,255,94,1,255,255,255,255,255,255,255,255,255,203,1,42,255,255,255,255,255,255,94,1,255,255,255,255,255,255,255,255,255,203,1,42,255,255,255,255,255,255,94,1,111,164,255,255,255,255,255,255,135,89,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,89,150,255,255,255,255,255,255,116,35,35,116,255,255,255,255,255,255,150,89,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255
ROCKWELL,ROCKWELL EXTRA BOLD,61441,0.400000,0,0.000000,37,23,46,49,20,20,1,1,1,1,17,111,151,255,255,255,255,255,255,151,111,31,1,1,1,1,1,1,10,103,217,255,255,255,255,255,255,255,255,255,255,249,148,10,1,1,1,1,123,255,255,255,255,255,255,255,255,255,255,255,255,255,255,164,1,1,1,1,241,255,255,255,255,255,196,12,12,187,255,253,233,233,233,138,41,1,1,62,252,255,255,255,255,255,78,1,1,15,89,78,1,1,1,1,1,1,1,94,255,255,255,255,255,255,42,1,1,1,1,1,1,1,1,1,1,1,122,171,255,255,255,255,255,255,237,233,233,233,233,233,233,233,233,233,86,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,94,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,94,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,94,1,111,164,255,255,255,255,255,255,135,111,111,135,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,1,94,255,255,255,255,255,255,42,1,1,42,255,255,255,255,255,255,94,1,89,150,255,255,255,255,255,255,116,35,35,116,255,255,255,255,255,255,150,89,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,99,99,255,255,255,255,255,255,255,255,255
ROCKWELL,ROCKWELL EXTRA BOLD,9674,0.400000,0,0.000000,36,21,47,31,20,20,1,1,1,1,1,1,1,10,171,255,252,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,115,255,231,231,228,48,1,1,1,1,1,1,1,1,1,1,1,1,2,65,242,252,30,100,255,210,3,1,1,1,1,1,1,1,1,1,1,1,78,255,216,40,1,4,146,244,209,30,1,1,1,1,1,1,1,1,1,40,227,255,67,1,1,1,1,137,255,172,1,1,1,1,1,1,1,1,16,185,253,126,3,1,1,1,1,14,190,251,172,16,1,1,1,1,1,1,135,255,175,1,1,1,1,1,1,1,45,194,255,135,1,1,1,1,6,133,242,213,28,1,1,1,1,1,1,1,1,28,213,242,82,1,1,1,97,255,215,12,1,1,1,1,1,1,1,1,1,1,68,229,243,96,1,58,229,233,46,1,1,1,1,1,1,1,1,1,1,1,1,46,233,229,58,161,255,187,21,1,1,1,1,1,1,1,1,1,1,1,1,21,187,255,161,6,102,255,215,12,1,1,1,1,1,1,1,1,1,1,12,215,255,102,6,1,6,158,255,161,10,1,1,1,1,1,1,1,1,10,161,255,158,6,1,1,1,21,209,255,105,1,1,1,1,1,1,1,1,175,255,146,21,1,1,1,1,1,37,241,232,62,1,1,1,1,1,3,126,253,185,16,1,1,1,1,1,1,1,40,227,211,59,1,1,1,1,137,255,227,40,1,1,1,1,1,1,1,1,1,78,255,216,40,1,1,82,244,209,58,1,1,1,1,1,1,1,1,1,1,2,125,252,186,5,30,252,242,63,1,1,1,1,1,1,1,1,1,1,1,1,1,185,255,182,231,228,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,213,255,252,90,1,1,1,1,1,1,1,1
ROCKWELL,ROCKWELL EXTRA BOLD,8805,0.400000,0,0.000000,35,24,50,37,20,20,209,154,68,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,217,136,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,156,118,38,1,1,1,1,1,1,1,1,1,1,154,247,255,255,255,255,255,255,255,242,205,138,45,1,1,1,1,1,1,1,1,1,86,125,211,255,255,255,255,255,255,255,255,206,154,65,12,1,1,1,1,1,1,1,7,52,104,198,255,255,255,255,255,255,255,255,216,188,94,1,1,1,1,1,1,1,1,1,1,83,177,210,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,6,57,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,42,126,165,255,255,255,255,255,255,255,255,1,1,1,1,1,1,53,147,205,246,255,255,255,255,255,255,255,239,145,52,1,1,43,74,167,255,255,255,255,255,255,255,255,231,205,116,23,1,1,1,103,196,247,255,255,255,255,255,255,255,255,189,96,27,1,1,1,1,1,1,255,255,255,255,255,255,255,206,169,75,1,1,1,1,1,1,1,1,1,1,255,255,255,255,187,148,52,2,1,1,1,1,1,1,1,1,1,1,1,1,232,205,119,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
ROCKWELL,ROCKWELL EXTRA BOLD,8804,0.400000,0,0.000000,35,24,51,37,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,72,156,210,1,1,1,1,1,1,1,1,1,1,1,1,6,11,105,197,221,255,255,255,1,1,1,1,1,1,1,1,1,18,66,130,217,255,255,255,255,255,255,255,1,1,1,1,1,2,21,118,156,230,255,255,255,255,255,255,255,241,173,136,1,1,1,57,143,180,255,255,255,255,255,255,255,255,225,148,81,24,1,1,76,131,214,249,255,255,255,255,255,255,234,215,123,26,15,1,1,1,1,1,255,255,255,255,255,255,255,219,171,89,19,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,204,106,26,1,1,1,1,1,1,1,1,1,1,1,204,255,255,255,255,255,255,255,234,196,123,34,1,1,1,1,1,1,1,1,3,43,106,181,239,255,255,255,255,255,255,252,248,151,110,34,1,1,1,1,1,1,1,1,34,56,151,248,252,255,255,255,255,255,255,239,206,135,43,6,1,1,1,1,1,1,1,1,34,123,196,234,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,26,97,141,235,253,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,74,110,197,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,31,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
ROCKWELL,ROCKWELL EXTRA BOLD,8800,0.400000,0,0.000000,31,24,58,37,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,242,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,156,255,255,238,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,255,255,255,113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,206,255,255,210,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,255,255,255,54,1,1,1,1,36,36,36,36,36,36,36,36,36,36,69,240,255,255,184,42,36,36,36,36,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,159,159,159,159,159,159,159,159,193,255,255,255,201,159,159,159,159,159,159,159,1,1,1,1,1,1,1,1,138,255,255,246,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73,246,255,255,138,1,1,1,1,1,1,1,1,159,159,159,159,159,159,159,201,255,255,255,193,159,159,159,159,159,159,159,159,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,36,36,36,36,42,184,255,255,240,69,36,36,36,36,36,36,36,36,36,36,1,1,1,1,54,255,255,255,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,210,255,255,206,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,113,255,255,255,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,238,255,255,161,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,255,246,39,1,1,1,1,1,1,1,1,1,1,1,1,1
ROCKWELL,ROCKWELL EXTRA BOLD,8776,0.400000,0,0.000000,46,24,28,37,20,20,1,1,62,113,255,255,255,177,73,14,1,1,1,1,1,1,1,1,1,138,1,134,238,255,255,255,255,255,255,167,40,1,1,1,1,1,1,1,91,205,121,253,255,255,255,255,255,255,255,255,229,101,36,1,1,1,29,165,242,255,255,255,255,255,255,255,255,255,255,255,255,255,252,110,110,110,224,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,240,183,183,183,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,212,86,1,1,1,107,161,255,255,255,255,255,255,255,255,255,255,177,255,153,26,1,1,1,1,1,13,86,226,255,255,255,255,255,255,230,106,17,205,12,1,1,1,1,1,1,1,1,28,146,208,255,255,255,170,44,1,1,40,1,1,1,1,1,1,1,1,1,1,1,42,73,73,73,16,1,1,1,1,1,1,16,73,73,73,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,170,255,255,255,208,146,28,1,1,1,1,1,1,1,1,1,79,17,106,230,255,255,255,255,255,255,226,86,13,1,1,1,1,1,6,52,239,177,255,255,255,255,255,255,255,255,255,255,161,107,1,1,1,27,133,255,255,255,255,255,255,255,255,255,255,255,255,255,255,254,183,183,183,200,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,224,110,110,110,252,255,255,255,255,255,255,255,255,255,255,255,255,255,242,66,29,1,1,1,36,212,255,255,255,255,255,255,255,255,255,253,121,205,91,1,1,1,1,1,1,52,176,255,255,255,255,255,255,255,238,134,1,138,1,1,1,1,1,1,1,1,20,73,93,255,255,255,255,113,62,1,1
ROCKWELL,ROCKWELL EXTRA BOLD,8747,0.400000,0,0.000000,33,20,65,18,20,20,1,1,1,1,1,1,1,1,1,1,20,160,177,229,255,255,255,238,177,177,1,1,1,1,1,1,1,1,14,118,255,151,138,138,181,234,255,255,251,216,1,1,1,1,1,1,1,31,151,255,255,29,1,1,1,18,40,40,35,1,1,1,1,1,1,1,1,57,255,255,255,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,7,72,255,255,255,255,133,33,1,1,1,1,1,1,1,1,1,1,1,1,86,255,255,255,255,255,255,86,1,1,1,1,1,1,1,1,1,1,1,1,40,149,255,255,255,255,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,238,255,255,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,255,255,255,57,1,1,1,1,1,1,1,1,53,59,59,59,33,1,1,29,255,255,64,9,1,1,1,1,1,1,1,236,253,255,255,255,247,210,157,168,255,99,11,1,1,1,1,1,1,1,1
ROCKWELL,ROCKWELL EXTRA BOLD,8734,0.400000,0,0.000000,49,21,23,38,20,20,1,1,1,1,1,1,1,1,1,1,1,1,30,104,255,92,29,1,1,1,1,1,1,57,50,1,1,1,1,1,1,64,236,255,255,255,226,60,1,1,1,43,100,231,215,100,32,1,1,1,48,247,255,255,255,255,255,239,43,1,1,178,255,255,255,255,172,50,1,1,191,255,255,255,255,255,255,255,108,1,79,251,255,255,255,255,255,182,1,88,255,255,255,203,89,212,255,255,195,1,121,255,255,255,255,255,255,250,85,135,255,255,182,38,1,41,192,255,253,95,244,255,251,58,23,188,255,255,243,245,255,251,38,1,1,1,52,255,255,121,255,255,162,1,1,45,241,255,255,255,255,125,1,1,1,1,34,239,255,121,255,255,121,1,1,1,134,255,255,255,255,14,1,1,1,1,1,162,255,121,255,255,27,1,1,1,23,215,255,255,203,8,1,1,1,1,1,162,255,121,255,255,27,1,1,1,23,215,255,255,135,1,1,1,1,1,1,162,255,197,255,255,27,1,1,1,41,255,255,255,219,10,1,1,1,1,1,162,255,162,255,255,138,1,1,1,152,255,255,255,255,125,1,1,1,1,34,239,255,121,255,255,251,58,23,186,252,255,244,255,255,251,26,1,1,1,52,255,255,121,226,255,255,255,255,255,255,255,118,229,255,255,77,9,1,12,192,255,253,95,79,251,255,255,255,255,255,199,71,88,255,255,255,115,89,124,255,255,242,1,1,178,255,255,255,255,236,50,1,1,191,255,255,255,255,255,255,255,178,1,1,43,239,255,255,223,85,1,1,1,48,247,255,255,255,255,255,239,43,1,1,1,60,67,67,53,1,1,1,1,1,143,255,255,255,255,255,129,1,1,1,1,1,1,1,1,1,1,1,1,1,15,115,255,255,255,104,13,1,1
ROCKWELL,ROCKWELL EXTRA BOLD,8730,0.400000,0,0.000000,22,23,64,34,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,203,106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91,233,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,128,211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51,246,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,136,216,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,158,166,1,1,1,1,4,64,135,181,31,1,1,1,1,1,1,1,1,31,255,81,1,1,113,179,236,176,152,255,205,10,1,1,1,1,1,1,1,77,255,16,1,1,33,15,1,1,1,124,255,199,23,1,1,1,1,1,1,181,163,5,1,1,1,1,1,1,1,8,166,255,179,14,1,1,1,1,33,213,121,1,1,1,1,1,1,1,1,1,26,215,255,181,1,1,1,1,76,241,61,1,1,1,1,1,1,1,1,1,1,40,222,255,158,12,1,1,160,226,1,1,1,1,1,1,1,1,1,1,1,1,41,223,255,139,1,1,226,132,1,1,1,1,1,1,1,1,1,1,1,1,1,47,246,255,147,46,237,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,236,252,222,199,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,77,239,255,181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81,255,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,129,31,1,1,1,1,1
