font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
SUPERFRENCH,SUPERFRENCH,61691,0.400000,0,0.000000,36,21,30,30,20,20,142,255,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,255,142,142,255,227,57,1,1,1,114,171,171,171,171,114,1,1,1,57,227,255,255,1,171,255,255,86,86,255,255,255,255,255,255,255,255,86,86,255,255,227,57,1,57,255,255,255,255,255,255,86,86,86,86,142,255,255,255,255,255,57,1,1,1,86,255,255,255,114,1,1,1,1,1,1,1,199,255,255,86,1,1,1,1,86,255,255,142,1,1,1,1,1,1,1,1,29,199,255,199,1,1,1,1,255,255,114,1,1,1,1,1,1,1,1,1,1,1,199,255,171,1,1,114,255,255,1,1,1,1,1,1,1,1,1,1,1,1,86,255,171,1,1,171,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,86,1,171,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,86,1,171,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,86,1,171,255,86,1,1,1,1,1,1,1,1,1,1,1,1,1,171,255,86,1,114,255,142,1,1,1,1,1,1,1,1,1,1,1,1,29,199,227,57,1,1,255,255,1,1,1,1,1,1,1,1,1,1,1,1,86,255,171,1,1,1,199,255,199,29,1,1,1,1,1,1,1,1,1,57,255,199,1,1,1,1,86,255,255,199,1,1,1,1,1,1,1,1,57,227,255,86,1,1,1,57,255,255,255,255,199,86,1,1,1,1,29,86,255,255,255,255,57,1,57,227,255,255,86,199,255,255,171,171,171,171,199,255,199,86,142,255,227,57,255,255,171,57,1,1,171,171,255,255,255,255,227,171,1,1,1,114,255,255,142,142,1,1,1,1,1,1,86,86,86,86,57,1,1,1,1,1,142,142
SUPERFRENCH,SUPERFRENCH,61690,0.400000,0,0.000000,28,21,47,29,20,20,1,1,1,1,52,199,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,136,246,255,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,255,255,255,53,1,1,1,4,79,1,1,1,1,1,1,1,1,1,1,62,255,255,255,53,1,2,81,220,227,63,1,1,1,1,1,1,1,1,1,62,255,255,255,53,34,163,255,202,69,27,1,1,1,1,1,1,1,1,1,62,255,255,255,159,235,241,99,10,1,1,1,1,1,1,1,1,1,1,1,62,255,255,255,206,58,1,17,49,49,49,49,49,9,1,1,1,1,1,54,203,255,255,255,62,87,163,130,169,169,169,247,255,206,147,81,1,1,234,247,244,255,255,255,228,86,21,1,1,1,1,20,78,223,255,254,193,39,126,134,68,255,255,255,117,1,1,1,1,1,1,1,1,28,226,255,255,117,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,62,255,255,255,53,1,1,1,1,1,1,1,1,1,115,255,255,255
SUPERFRENCH,SUPERFRENCH,61688,0.400000,0,0.000000,28,14,12,7,20,20,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,13,86,86,134,255,255,255,255,255,255,255,255,134,86,86,13,1,1,1,1,37,255,255,255,255,255,255,255,255,255,255,255,255,255,255,37,1,1,1,1,37,255,255,255,255,255,255,255,255,255,255,255,255,255,255,183,171,171,1,1,37,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,37,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,25,171,171,195,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,1,73,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,1,25,86,86,86,86,86,86,86,86,207,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,183,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,183,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,183,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,183,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,98,171,171,231,255,255,110,86,86,1,1,1,1,1,1,1,1,1,1,1,146,255,255,255,255,255,37,1,1,1,1,1,1,1,1,1,1,110,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,25,86,86,158,255,255,207,171,171,49,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,110,1,1,1,1,1,1,1,1,171,171,171,171,171,195,255,255,183,86,86,37,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,146,1,1,1,1,1,1,1,1,1,1,1
SUPERFRENCH,SUPERFRENCH,61687,0.400000,0,0.000000,29,0,12,4,20,20,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,86,86,86,86,86,255,255,255,255,255,171,171,171,171,171,171,171,171,171,171,255,255,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,86,86,86,86,86,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,171,171,171,171,171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,86,86,86,86,86,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,86,86,86,86,86,255,255,255,255,255,171,171,171,171,171,171,171,171,171,171,1,1,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
SUPERFRENCH,SUPERFRENCH,61686,0.400000,0,0.000000,34,22,18,18,20,20,1,1,1,171,114,1,1,57,255,255,255,255,255,255,114,1,1,1,1,1,227,227,227,246,114,101,227,183,29,29,29,29,29,180,240,227,152,1,1,1,57,57,211,255,224,136,57,45,1,1,1,1,1,38,57,145,237,155,1,1,1,1,199,255,161,48,1,1,1,1,1,1,1,1,1,114,255,237,152,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,51,161,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,1,1,199,255,114,1,1,1,1,1,1,1,1,1,1,1,86,255,227,1,29,29,205,255,130,16,1,1,1,1,1,1,1,1,16,29,104,255,230,29,255,255,255,255,255,142,1,1,1,1,1,1,1,1,142,255,255,255,255,255
SUPERFRENCH,SUPERFRENCH,61685,0.400000,0,0.000000,44,21,31,23,20,20,165,165,200,255,255,255,173,165,165,165,165,165,165,252,220,91,48,1,1,1,1,1,100,255,255,255,23,1,1,1,1,1,1,86,243,255,220,81,5,1,1,1,100,255,255,255,23,1,1,1,1,1,1,1,56,255,255,255,67,1,1,1,100,255,255,255,23,1,1,1,1,1,1,1,13,127,255,255,213,26,1,1,100,255,255,255,23,1,1,1,1,1,1,1,1,89,255,255,255,34,1,1,100,255,255,255,23,1,1,1,1,1,1,1,1,89,255,255,219,27,1,1,100,255,255,255,23,1,1,1,1,1,1,1,31,180,255,255,67,1,1,1,100,255,255,255,23,1,1,1,1,1,55,81,236,255,224,90,7,1,1,1,100,255,255,255,165,157,157,157,157,157,238,255,222,99,52,1,1,1,1,1,100,255,255,255,180,173,173,173,173,173,241,255,254,190,43,1,1,1,1,1,100,255,255,255,23,1,1,1,1,1,68,97,249,255,216,173,46,1,1,1,100,255,255,255,23,1,1,1,1,1,1,1,34,191,255,255,140,13,1,1,100,255,255,255,23,1,1,1,1,1,1,1,1,81,243,255,255,55,1,1,100,255,255,255,23,1,1,1,1,1,1,1,1,1,122,255,255,255,1,1,100,255,255,255,23,1,1,1,1,1,1,1,1,1,122,255,255,255,1,1,100,255,255,255,23,1,1,1,1,1,1,1,1,1,122,255,255,255,1,1,100,255,255,255,23,1,1,1,1,1,1,1,1,78,238,255,255,62,1,1,100,255,255,255,23,1,1,1,1,1,1,1,33,186,255,255,146,14,1,1,100,255,255,255,90,75,75,75,75,75,75,89,243,255,220,181,48,1,165,165,200,255,255,255,255,255,255,255,255,255,255,255,220,91,48,1,1,1
SUPERFRENCH,SUPERFRENCH,61684,0.400000,0,0.000000,44,21,40,29,20,20,1,1,1,1,110,128,203,1,5,128,212,255,255,255,255,150,128,31,1,1,128,128,247,255,255,255,242,181,163,84,1,1,1,27,194,255,255,247,80,1,1,1,1,141,255,255,255,150,1,1,1,1,1,1,1,124,255,255,255,80,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,18,185,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,1,1,141,255,255,229,1,1,1,1,1,1,1,1,1,115,255,255,255,1,80,159,255,255,255,255,203,124,1,1,1,1,1,1,1,115,255,255,255,1,80,128,128,128,128,128,128,124,1,1,1,1,1,1,1,115,255,255,255,1,1,1,1,1,1,1,1,1,1,1,159,255,229,62,1,115,255,255,255,1,1,1,1,1,1,1,1,1,1,168,255,255,255,124,18,185,255,255,80,1,1,1,1,1,1,1,1,1,1,84,251,255,255,255,255,255,247,80,1,1,1,1,1,1,1,1,1,1,1,1,124,203,255,255,238,128,31,1,1
SUPERFRENCH,SUPERFRENCH,61683,0.400000,0,0.000000,28,21,54,41,20,20,95,100,226,255,255,126,1,1,1,1,1,1,1,79,95,204,255,226,100,95,1,1,33,255,255,251,96,1,1,1,1,1,1,1,1,12,233,33,1,1,1,1,19,236,174,255,246,68,1,1,1,1,1,1,1,1,231,19,1,1,1,1,19,231,11,193,255,239,50,1,1,1,1,1,1,1,231,19,1,1,1,1,19,231,1,26,207,255,221,39,1,1,1,1,1,1,231,19,1,1,1,1,19,231,1,1,48,220,255,198,28,1,1,1,1,1,231,19,1,1,1,1,19,231,1,1,1,71,231,255,173,19,1,1,1,1,231,19,1,1,1,1,19,231,1,1,1,1,95,240,255,147,12,1,1,1,231,19,1,1,1,1,19,231,1,1,1,1,1,120,249,255,119,5,1,1,231,19,1,1,1,1,19,231,1,1,1,1,1,1,147,255,255,90,1,1,231,19,1,1,1,1,19,231,1,1,1,1,1,1,1,167,255,255,70,1,231,19,1,1,1,1,19,231,1,1,1,1,1,1,1,9,193,255,245,47,231,19,1,1,1,1,19,231,1,1,1,1,1,1,1,1,18,217,255,233,250,19,1,1,1,1,19,231,1,1,1,1,1,1,1,1,1,30,231,255,255,19,1,1,1,1,19,231,1,1,1,1,1,1,1,1,1,1,149,255,255,19,1,1,1,1,19,231,1,1,1,1,1,1,1,1,1,1,94,255,248,18,1,1,1,5,144,248,112,1,1,1,1,1,1,1,1,1,135,255,150,1,1,1,95,95,104,104,103,95,79,1,1,1,1,1,18,122,254,233,24,1,1,1,1,1,1,1,1,1,1,1,7,29,29,103,211,255,197,35,1,1,1,1,1,1,1,1,1,14,157,189,204,255,255,182,161,83,10,1,1,1,1,1
SUPERFRENCH,SUPERFRENCH,61682,0.400000,0,0.000000,20,0,8,11,20,20,255,209,1,1,1,1,1,1,1,1,1,1,1,1,117,255,255,255,255,255,255,209,1,1,1,1,1,1,1,1,1,1,1,1,117,255,255,255,255,255,255,232,128,82,1,1,1,1,1,1,1,1,35,128,186,255,255,255,255,255,255,255,255,163,1,1,1,1,1,1,1,1,70,255,255,255,255,255,255,255,255,255,255,163,1,1,1,1,1,1,1,1,70,255,255,255,255,255,255,255,255,255,255,163,1,1,1,1,1,1,24,255,255,255,255,255,255,255,255,255,255,255,255,163,1,1,1,1,1,1,24,255,255,255,255,255,255,255,255,255,255,255,255,163,1,1,1,1,1,117,140,255,255,255,255,255,255,255,255,255,255,255,255,163,1,1,1,1,1,232,255,255,255,255,255,255,255,255,255,255,255,255,255,163,1,1,1,1,1,232,255,255,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,186,255,255,255,255,255,255,255,255,93,1,1,1,1,1,1,1,1,1,1,186,255,255,255,255,255,255,255,255,93,1,1,1,1,1,1,1,1,70,128,221,255,255,255,255,221,128,128,128,47,1,1,1,1,1,1,1,1,140,255,255,255,255,255,255,186,1,1,1,1,1,1,1,1,1,1,1,1,140,255,255,255,255,255,255,186,1,1,1,1,1,1,1,1,1,1,93,255,255,255,255,255,24,1,1,1,1,1,1,1,1,1,1,1,1,1,93,255,255,255,255,255,24,1,1,1,1,1,1,1,1,1,1,1,24,128,174,255,186,128,128,128,12,1,1,1,1,1,1,1,1,1,1,1,47,255,255,255,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,255,255,255,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SUPERFRENCH,SUPERFRENCH,61681,0.400000,0,0.000000,28,21,47,34,20,20,109,207,255,255,255,251,160,71,1,1,1,1,1,1,1,1,1,1,1,1,1,17,190,255,255,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,76,1,1,1,29,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,76,1,1,86,231,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,77,74,227,248,175,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,201,255,166,76,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,190,106,4,1,1,1,1,1,1,1,1,1,1,1,1,9,137,250,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,204,206,234,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,113,9,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,1,144,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,12,177,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,1,106,255,1,1,166,255,255,76,1,1,1,1,1,1,1,1,1,1,1,69,229,255,1,1,166,255,255,189,71,71,71,71,71,71,71,71,71,84,180,251,255,255,109,135,242,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
