font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
SANSSERIF,SANSSERIF,61695,0.400000,0,0.000000,36,21,62,31,20,20,1,1,1,33,255,255,255,190,1,1,1,99,255,255,255,124,1,1,1,1,1,1,1,33,255,255,255,190,1,1,1,99,255,255,255,124,1,1,1,1,1,1,1,9,66,66,66,49,1,1,1,26,66,66,66,32,1,1,1,1,116,116,116,105,17,1,1,1,1,1,1,1,1,1,1,60,116,116,116,94,123,255,255,255,152,7,1,1,1,1,1,1,1,1,34,232,255,255,220,47,15,193,255,255,255,73,1,1,1,1,1,1,1,1,180,255,255,255,97,1,1,38,255,255,255,217,27,1,1,1,1,1,1,101,249,255,255,174,8,1,1,2,122,255,255,255,152,7,1,1,1,1,65,242,255,255,222,45,1,1,1,1,7,202,255,255,255,73,1,1,1,29,209,255,255,255,44,1,1,1,1,1,1,92,255,255,255,190,1,1,3,150,255,255,255,128,2,1,1,1,1,1,1,11,166,255,255,255,104,1,67,255,255,255,209,1,1,1,1,1,1,1,1,1,36,226,255,255,255,78,232,255,255,211,31,1,1,1,1,1,1,1,1,1,1,92,255,255,255,255,255,255,245,82,1,1,1,1,1,1,1,1,1,1,1,12,166,255,255,255,255,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,73,244,255,255,255,208,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,231,255,255,251,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,77,244,255,255,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,207,255,255,181,8,1,1,1,1,1,1,1,1,1,1,170,205,157,197,253,255,255,210,17,1,1,1,1,1,1,1,1,1,1,1,128,255,255,255,240,173,78,4,1,1,1,1,1,1,1,1,1,1,1
SANSSERIF,SANSSERIF,61694,0.400000,0,0.000000,34,23,64,31,20,20,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,223,1,16,124,180,240,240,240,240,232,160,147,39,1,1,1,1,255,255,255,245,214,255,247,219,160,160,160,160,221,255,255,255,168,50,2,1,255,255,255,255,255,147,29,1,1,1,1,1,7,64,198,255,255,255,140,1,255,255,255,255,155,8,1,1,1,1,1,1,1,1,21,194,255,255,242,74,255,255,255,227,17,1,1,1,1,1,1,1,1,1,1,58,237,255,255,235,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,223,255,255,255,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,223,255,255,255,255,255,255,247,99,1,1,1,1,1,1,1,1,1,1,99,247,255,255,184,255,255,255,255,232,116,1,1,1,1,1,1,1,1,65,232,255,255,242,74,255,255,255,255,255,249,180,123,64,64,64,64,123,180,249,255,255,218,85,1,255,255,255,235,135,243,255,255,255,255,255,255,255,255,255,214,140,7,1,1,255,255,255,223,1,1,44,101,160,160,160,160,152,80,67,1,1,1,1,1,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SANSSERIF,SANSSERIF,61693,0.400000,0,0.000000,34,21,64,31,20,20,1,1,1,1,1,1,1,1,1,42,153,255,255,248,162,39,1,1,1,1,1,1,1,1,1,1,1,9,81,251,255,243,157,35,1,1,1,1,1,1,1,1,1,1,1,1,1,105,208,182,74,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,188,240,240,229,83,1,1,1,1,1,1,1,1,1,13,162,240,240,240,137,57,228,255,255,217,29,1,1,1,1,1,1,1,1,103,255,255,255,171,1,1,109,255,255,255,165,1,1,1,1,1,1,1,51,228,255,255,237,15,1,1,9,181,255,255,246,94,1,1,1,1,1,13,186,255,255,245,87,1,1,1,1,47,223,255,255,238,22,1,1,1,1,169,255,255,255,105,1,1,1,1,1,1,147,255,255,255,179,1,1,1,93,251,255,255,173,13,1,1,1,1,1,1,21,206,255,255,235,68,1,19,255,255,255,227,39,1,1,1,1,1,1,1,1,70,238,255,255,216,43,209,255,255,241,85,1,1,1,1,1,1,1,1,1,1,132,255,255,255,225,255,255,251,114,1,1,1,1,1,1,1,1,1,1,1,22,191,255,255,255,255,255,190,1,1,1,1,1,1,1,1,1,1,1,1,1,97,248,255,255,255,225,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,231,255,255,252,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,242,255,255,124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,198,255,255,189,16,1,1,1,1,1,1,1,1,1,1,159,190,144,182,250,255,255,216,27,1,1,1,1,1,1,1,1,1,1,1,130,255,255,255,240,176,83,7,1,1,1,1,1,1,1,1,1,1,1
SANSSERIF,SANSSERIF,61692,0.400000,0,0.000000,36,24,48,28,20,20,1,1,1,110,255,255,255,219,1,1,1,1,219,255,255,255,110,1,1,1,1,1,1,110,255,255,255,219,1,1,1,1,219,255,255,255,110,1,1,1,1,1,1,101,234,234,234,201,1,1,1,1,201,234,234,234,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,107,107,107,107,31,1,1,1,1,1,1,1,1,1,1,31,107,107,107,107,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,31,255,255,255,255,255,255,255,255,255,134,1,1,1,1,1,1,1,1,82,237,255,255,255,255,255,164,255,255,255,255,204,128,37,22,22,52,128,219,243,255,255,255,255,255,255,25,146,246,255,255,255,255,255,255,255,255,255,255,255,210,134,255,255,255,255,1,1,52,149,149,255,255,255,255,255,255,195,134,43,13,73,255,255,255,255
SANSSERIF,SANSSERIF,61691,0.400000,0,0.000000,34,24,50,28,20,20,1,1,1,1,1,1,30,154,255,255,255,255,226,30,1,1,1,1,1,1,1,1,1,1,1,30,190,255,255,183,183,255,255,234,59,1,1,1,1,1,1,1,1,1,110,255,255,197,59,1,1,59,197,255,255,110,1,1,1,1,1,1,1,44,139,154,154,22,1,1,1,1,8,95,154,139,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,205,205,205,205,59,1,1,1,1,1,1,1,1,1,1,59,205,205,205,205,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,219,255,255,255,255,255,255,255,255,110,1,1,1,1,1,1,1,1,66,226,255,255,255,255,255,183,255,255,255,255,175,103,15,1,1,30,103,190,226,255,255,255,255,255,255,30,161,248,255,255,255,255,255,255,255,255,255,255,255,219,146,255,255,255,255,1,1,59,154,154,255,255,255,255,255,255,197,139,52,15,73,255,255,255,255
SANSSERIF,SANSSERIF,61690,0.400000,0,0.000000,34,24,50,28,20,20,1,1,1,1,1,1,1,1,1,1,110,255,255,255,255,175,44,1,1,1,1,1,1,1,1,1,1,1,1,146,255,255,255,212,81,1,1,1,1,1,1,1,1,1,1,1,1,22,197,255,241,146,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95,154,154,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,205,205,205,205,59,1,1,1,1,1,1,1,1,1,1,59,205,205,205,205,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,219,255,255,255,255,255,255,255,255,110,1,1,1,1,1,1,1,1,66,226,255,255,255,255,255,183,255,255,255,255,175,103,15,1,1,30,103,190,226,255,255,255,255,255,255,30,161,248,255,255,255,255,255,255,255,255,255,255,255,219,146,255,255,255,255,1,1,59,154,154,255,255,255,255,255,255,197,139,52,15,73,255,255,255,255
SANSSERIF,SANSSERIF,61689,0.400000,0,0.000000,34,24,50,28,20,20,1,1,1,44,175,255,255,255,212,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81,212,255,255,255,146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88,146,241,255,197,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,154,154,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,205,205,205,205,59,1,1,1,1,1,1,1,1,1,1,59,205,205,205,205,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,73,255,255,255,255,255,255,255,255,73,1,1,1,1,1,1,1,1,1,1,219,255,255,255,255,255,255,255,255,110,1,1,1,1,1,1,1,1,66,226,255,255,255,255,255,183,255,255,255,255,175,103,15,1,1,30,103,190,226,255,255,255,255,255,255,30,161,248,255,255,255,255,255,255,255,255,255,255,255,219,146,255,255,255,255,1,1,59,154,154,255,255,255,255,255,255,197,139,52,15,73,255,255,255,255
SANSSERIF,SANSSERIF,61688,0.400000,0,0.000000,46,22,39,34,20,20,1,1,1,1,1,1,1,117,125,125,125,125,44,1,1,1,1,1,119,106,1,1,1,1,35,211,249,255,255,255,255,255,251,249,134,35,1,157,254,182,1,1,7,173,246,255,255,255,255,255,255,255,255,255,255,231,181,255,147,6,1,1,77,255,255,255,255,255,176,151,151,176,255,255,255,255,255,219,36,1,1,54,246,255,255,255,204,34,7,1,1,7,34,157,244,255,255,166,1,1,1,191,255,255,255,176,16,1,1,1,1,1,6,154,252,255,255,244,53,1,1,211,255,255,192,12,1,1,1,1,1,21,172,255,231,231,255,255,111,1,87,247,255,255,134,1,1,1,1,1,33,197,255,219,48,181,255,255,211,1,106,255,255,255,31,1,1,1,1,1,148,255,201,28,1,181,255,255,211,1,106,255,255,255,31,1,1,1,12,143,255,171,21,1,1,181,255,255,211,1,106,255,255,255,31,1,1,21,171,255,143,12,1,1,1,181,255,255,211,1,106,255,255,255,31,1,28,201,255,148,1,1,1,1,1,181,255,255,211,1,106,255,255,255,57,48,219,255,197,33,1,1,1,1,52,232,255,255,211,1,36,226,255,255,231,231,255,172,21,1,1,1,1,1,99,255,255,255,111,1,1,211,255,255,255,252,154,6,1,1,1,1,2,95,245,255,255,244,53,1,1,118,255,255,255,244,88,17,1,1,1,22,117,255,255,255,255,150,1,1,1,30,209,255,255,255,255,219,151,151,151,237,255,255,255,253,167,7,1,1,6,147,255,242,254,255,255,255,255,255,255,255,255,255,252,137,1,1,1,1,182,254,157,1,104,211,249,255,255,255,255,255,251,187,84,1,1,1,1,1,52,172,1,1,1,1,1,117,125,125,125,125,44,1,1,1,1,1,1,1
SANSSERIF,SANSSERIF,61687,0.400000,0,0.000000,51,23,33,32,20,20,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,62,62,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,62,62,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1
SANSSERIF,SANSSERIF,61686,0.400000,0,0.000000,36,22,48,32,20,20,1,1,1,1,160,255,255,255,32,1,1,32,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,32,1,1,32,255,255,255,160,1,1,1,1,1,1,1,1,147,234,234,234,30,1,1,30,234,234,234,147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,107,107,107,107,107,107,14,1,1,1,1,1,1,1,1,1,38,109,255,255,255,255,255,255,255,255,255,255,109,38,1,1,1,1,1,96,248,255,255,255,255,255,255,255,255,255,255,255,255,248,96,1,1,1,109,245,255,255,248,221,128,35,22,22,35,128,221,248,255,255,245,109,1,64,234,255,255,255,120,1,1,1,1,1,1,1,1,120,255,255,255,234,64,96,255,255,255,123,1,1,1,1,1,1,1,1,1,1,123,255,255,255,96,255,255,255,218,40,1,1,1,1,1,1,1,1,1,1,40,218,255,255,255,255,255,255,192,1,1,1,1,1,1,1,1,1,1,1,1,192,255,255,255,255,255,255,192,1,1,1,1,1,1,1,1,1,1,1,1,192,255,255,255,255,255,255,192,1,1,1,1,1,1,1,1,1,1,1,1,192,255,255,255,189,255,255,245,80,1,1,1,1,1,1,1,1,1,1,80,245,255,255,189,96,255,255,255,255,27,1,1,1,1,1,1,1,1,27,255,255,255,255,96,24,208,255,255,255,232,101,1,1,1,1,1,1,101,232,255,255,255,208,24,1,30,192,255,255,255,253,234,141,128,128,141,234,253,255,255,255,192,30,1,1,1,43,178,232,255,255,255,255,255,255,255,255,255,255,232,178,43,1,1,1,1,1,1,27,83,163,255,255,255,255,255,255,163,83,27,1,1,1,1
