font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
TREBUCHET,TREBUCHET MS,64279,0.400000,0,0.000000,37,24,63,84,20,20,1,1,1,1,108,255,255,158,49,255,61,1,1,1,1,1,1,1,1,1,1,1,1,1,243,200,150,93,49,255,61,1,1,1,1,1,1,1,1,1,1,1,1,1,243,159,1,1,49,255,61,1,1,1,1,1,1,1,1,1,1,1,1,1,182,250,37,1,49,255,61,1,1,1,1,1,1,1,1,1,142,95,1,1,54,255,144,1,49,255,79,154,223,169,22,1,1,1,61,142,255,171,1,1,1,219,171,1,49,255,227,214,193,255,166,1,1,1,110,255,255,171,1,1,1,195,171,1,49,255,183,4,2,172,254,1,1,1,110,255,255,171,1,1,1,195,171,1,49,255,61,1,1,110,255,4,1,1,110,255,255,171,1,1,1,195,171,1,49,255,61,1,1,110,255,61,1,1,110,255,255,171,1,1,1,195,171,1,49,255,61,1,1,110,255,61,1,1,110,255,255,171,1,1,1,195,171,1,49,255,61,1,1,110,255,61,1,1,110,255,255,171,1,1,1,195,171,1,49,255,61,1,1,110,255,61,1,1,110,255,199,171,1,1,1,195,171,1,49,255,61,1,1,91,255,61,1,1,110,255,174,239,17,1,66,255,171,1,49,255,61,1,1,48,255,106,1,17,218,255,86,255,228,183,247,207,171,1,49,255,61,1,1,1,214,252,183,228,222,255,3,115,223,208,70,55,95,1,49,255,61,1,1,1,49,204,223,123,33,142,1,1,1,1,1,1,1,1,49,255,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,255,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,255,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,255,61,1,1,1,1,1,1,1,1,1
TREBUCHET,TREBUCHET MS,64278,0.400000,0,0.000000,37,24,63,65,20,20,1,1,1,1,1,1,59,255,157,1,1,33,181,255,255,255,1,1,1,1,1,1,1,1,1,1,59,255,157,1,1,190,254,194,150,150,1,1,1,1,1,1,1,1,1,1,59,255,157,1,1,236,239,9,1,1,1,1,1,1,1,1,1,1,1,1,59,255,157,1,1,156,255,122,8,1,1,1,1,1,142,142,22,1,1,1,59,255,157,1,1,29,255,255,90,1,1,1,120,142,255,255,40,1,1,1,59,255,157,1,1,126,255,172,4,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,62,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,182,255,40,1,1,1,59,255,157,1,1,157,255,108,1,1,1,1,216,255,150,255,146,4,1,19,203,255,157,1,1,78,255,204,17,1,12,139,255,255,41,251,255,211,183,239,218,255,157,1,1,1,218,255,216,183,233,190,221,255,1,60,186,223,217,105,69,255,157,1,1,1,30,155,223,223,136,15,77,142,1,1,1,1,1,1,59,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,255,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,255,215,150,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,255,255,255,197,1,1,1,1,1,1,1,1,1
TREBUCHET,TREBUCHET MS,64277,0.400000,0,0.000000,37,24,63,65,20,20,1,1,1,1,1,60,218,255,255,216,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,197,255,158,150,127,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,197,255,67,1,1,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,117,255,217,15,1,1,157,255,59,1,1,1,1,1,1,142,142,22,1,1,5,203,255,123,1,1,157,255,69,105,217,223,186,85,1,255,255,40,1,1,1,90,255,157,1,1,157,255,218,255,188,188,255,251,66,255,255,40,1,1,1,59,255,157,1,1,157,255,203,21,1,1,121,255,175,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,40,255,232,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,10,226,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,182,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,150,255,146,4,1,19,203,255,157,1,1,157,255,59,1,1,1,1,216,255,41,251,255,211,183,239,195,248,157,1,1,157,255,59,1,1,1,1,216,255,1,60,186,223,217,105,10,106,88,1,1,157,255,59,1,1,1,1,120,142,1,1,1,1,1,1,1,1,1,1,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,157,255,59,1,1,1,1,1,1
TREBUCHET,TREBUCHET MS,64276,0.400000,0,0.000000,37,24,50,65,20,20,1,1,1,1,1,40,208,255,255,216,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,181,255,255,255,216,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,197,255,20,1,1,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,197,255,114,1,1,1,157,255,59,1,1,1,1,1,1,1,1,1,1,1,103,255,224,16,1,1,157,255,59,1,1,1,1,1,1,103,103,16,1,1,8,224,255,110,1,1,157,255,138,103,103,103,103,103,103,255,255,40,1,1,1,122,255,157,1,1,157,255,255,255,255,255,255,255,255,255,255,40,1,1,1,59,255,157,1,1,157,255,177,154,154,154,154,154,154,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,1,1,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,1,1,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,130,154,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,193,255,40,1,1,1,59,255,157,1,1,157,255,91,1,1,1,1,216,255,177,255,87,1,1,1,122,255,157,1,1,110,255,154,1,1,1,40,240,255,114,255,205,40,1,95,248,255,157,1,1,48,255,248,63,1,79,228,255,255,16,244,255,255,255,255,157,244,157,1,1,1,193,255,255,255,255,154,201,255,1,55,208,255,248,106,8,110,95,1,1,1,28,169,255,255,146,12,83,154
TREBUCHET,TREBUCHET MS,64275,0.400000,0,0.000000,37,24,50,65,20,20,1,1,1,1,1,40,208,255,255,216,1,16,161,255,255,255,1,1,1,1,1,1,1,1,1,181,255,255,255,216,1,142,255,255,255,255,1,1,1,1,1,1,1,1,1,197,255,20,1,1,1,236,244,55,1,1,1,1,1,1,1,1,1,1,1,197,255,114,1,1,1,236,244,24,1,1,1,1,1,1,1,1,1,1,1,103,255,224,16,1,1,142,255,130,8,1,1,1,1,1,103,103,16,1,1,8,224,255,110,1,1,16,255,255,103,1,1,1,87,103,255,255,40,1,1,1,122,255,157,1,1,95,255,216,16,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,106,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,255,255,40,1,1,1,59,255,157,1,1,157,255,59,1,1,1,1,216,255,193,255,40,1,1,1,59,255,157,1,1,157,255,91,1,1,1,1,216,255,177,255,87,1,1,1,122,255,157,1,1,110,255,154,1,1,1,40,240,255,114,255,205,40,1,95,248,255,157,1,1,48,255,248,63,1,79,228,255,255,16,244,255,255,255,255,157,244,157,1,1,1,193,255,255,255,255,154,201,255,1,55,208,255,248,106,8,110,95,1,1,1,28,169,255,255,146,12,83,154
TREBUCHET,TREBUCHET MS,64262,0.400000,0,0.000000,35,22,52,50,20,20,1,1,1,1,1,1,12,99,177,255,255,255,157,55,1,1,1,1,1,1,1,1,1,1,1,8,185,255,255,240,236,244,255,240,95,1,1,1,1,1,1,1,1,1,1,103,255,255,118,16,1,32,224,255,220,16,1,1,1,1,1,1,1,1,1,197,255,161,1,1,1,1,99,255,255,52,1,1,1,1,1,1,1,1,1,205,255,154,1,1,1,1,52,255,255,52,1,1,1,1,1,1,1,1,1,181,255,154,1,1,1,1,52,255,255,52,1,1,1,1,1,8,118,197,216,232,255,240,55,1,1,173,224,255,255,224,216,216,216,130,16,189,255,255,255,255,255,255,134,1,1,205,255,255,255,255,255,255,255,154,106,255,248,99,20,20,79,197,48,1,1,16,67,255,255,67,20,20,20,12,154,255,205,1,1,1,1,1,1,1,1,1,52,255,255,52,1,1,1,1,130,255,255,75,1,1,1,1,1,1,1,1,52,255,255,52,1,1,1,1,28,224,255,240,138,20,1,1,1,1,1,1,52,255,255,52,1,1,1,1,1,32,224,255,255,255,157,16,1,1,1,1,52,255,255,52,1,1,1,1,1,1,12,99,224,255,255,240,71,1,1,1,52,255,255,52,1,1,1,1,1,1,1,1,12,138,255,255,224,20,1,1,52,255,255,52,1,1,1,1,1,1,1,1,1,1,91,255,255,52,1,1,52,255,255,52,1,1,1,1,4,12,1,1,1,1,52,255,255,52,1,1,52,255,255,138,1,1,1,1,83,224,118,48,1,1,154,255,240,36,1,1,16,220,255,224,32,1,16,48,193,255,255,248,236,236,255,255,134,1,1,1,1,95,255,255,244,236,240,169,36,138,177,255,255,255,197,118,1,1,1,1,1,1,79,197,255,255,236,157
TREBUCHET,TREBUCHET MS,64260,0.400000,0,0.000000,37,21,50,60,20,20,1,1,1,18,120,154,154,103,1,1,18,120,222,255,255,255,255,255,1,1,1,1,1,188,255,255,255,171,1,1,188,255,255,255,255,255,255,255,1,1,1,1,103,255,239,103,103,69,1,103,255,239,69,1,1,1,255,255,1,1,1,1,171,255,103,1,1,1,1,171,255,137,1,1,1,1,255,255,1,1,1,1,255,255,35,1,1,1,1,255,255,35,1,1,1,1,255,255,1,1,103,103,255,255,103,103,103,103,103,255,255,103,103,103,35,1,255,255,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,86,1,255,255,1,1,154,154,255,255,154,154,154,154,154,255,255,154,154,154,52,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,255,255,103,1,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,188,255,239,103,1,1,255,255,1,1,1,1,1,255,255,1,1,1,1,1,103,255,255,255,1,1,154,154,1,1,1,1,1,154,154,1,1,1,1,1,1,86,222,255
TREBUCHET,TREBUCHET MS,64259,0.400000,0,0.000000,37,21,49,56,20,20,1,1,1,1,34,151,151,137,11,1,1,66,203,255,255,226,11,93,226,98,1,1,1,119,239,255,255,255,55,1,90,251,255,255,255,229,12,219,255,235,1,1,48,253,255,189,115,152,25,1,215,255,172,33,11,45,1,156,255,155,1,1,128,255,189,1,1,1,1,30,255,255,37,1,1,1,1,10,68,20,1,1,212,255,118,1,1,1,1,92,255,205,3,1,1,1,1,1,1,1,73,73,229,255,125,73,73,73,73,138,255,216,73,73,73,73,73,73,73,47,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,164,193,193,247,255,211,193,193,193,193,215,255,242,193,193,193,193,193,224,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164,1,1,219,255,73,1,1,1,1,92,255,201,1,1,1,1,1,128,255,164
TREBUCHET,TREBUCHET MS,64258,0.400000,0,0.000000,37,22,50,35,20,20,1,1,1,1,1,44,124,212,255,255,255,255,154,95,154,154,154,22,1,1,1,1,1,1,88,248,255,255,255,255,255,255,255,255,255,255,255,37,1,1,1,1,1,88,255,255,248,146,59,1,1,1,103,205,255,255,255,37,1,1,1,1,15,190,255,255,161,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,103,103,124,255,255,255,146,103,103,73,1,1,1,73,255,255,255,37,1,1,255,255,255,255,255,255,255,255,255,183,1,1,1,73,255,255,255,37,1,1,154,154,168,255,255,255,183,154,154,110,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,37,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,73,255,255,255,124,1,1,1,1,37,255,255,255,73,1,1,1,1,1,1,44,226,255,255,241,190,103,1,1,37,255,255,255,73,1,1,1,1,1,1,1,95,255,255,255,255,255,1,1,22,154,154,154,44,1,1,1,1,1,1,1,8,52,154,241,255,255
TREBUCHET,TREBUCHET MS,64257,0.400000,0,0.000000,37,22,49,32,20,20,1,1,1,1,1,1,49,151,242,255,255,255,255,153,40,86,229,255,229,86,1,1,1,1,1,133,241,255,255,255,255,255,255,192,1,255,255,255,255,255,1,1,1,36,206,255,255,237,128,50,11,11,11,8,1,154,246,255,246,154,1,1,1,116,255,255,245,86,1,1,1,1,1,1,1,1,51,68,51,1,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,1,1,1,1,73,73,73,233,255,255,233,73,73,73,73,73,73,73,73,73,73,73,73,73,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,193,193,193,248,255,255,248,193,193,193,193,193,193,193,193,193,240,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255,1,1,1,224,255,255,224,1,1,1,1,1,1,1,1,1,192,255,255,255
